district,meets_2025,masters_2025,school_score_raw,school_score_normalized,grad_rate_4yr,dropout_rate_gr_7_8,dropout_rate_gr_9_12,ccr_rate,avg_sat_score_2024,avg_act_score_2024,population,family_violence_2024,sexual_assualt_2024,larcency_2024,arson_2024,robbery_2024,mean_prices
anna,45,17,36.6,6.94,92.7%,0.0%,2%,89.5%,917,19.8,"32,053",126,8,8,0,5,"351,700"
allen,74,44,65,79.95,98.3%,0.1%,0.2%,82.2%,1140,26.3,"113,737",422,40,827,1,11,"523,100"
celina,61,28,51.1,44.22,98.2%,0.0%,0.2%,84.8%,1145,18.9,"51,600",133,14,232,0,0,"629,900"
frisco,77,47,68,87.66,98.8%,0.1%,0.1%,79.9%,1156,25.5,"225,000",809,64,"2,019",7,29,"735,300"
mckinney,62,30,52.4,47.56,98.1%,0.2%,0.2%,96.0%,1043,23.9,"215,000",772,66,"1,439",8,28,"555,800"
melissa,71,39,61.4,70.69,97.9%,0.1%,0.1%,94.7%,1100,23,27831,94,2,1,1,0,"454,000"
plano,61,34,52.9,48.84,94.5%,0.6%,0.8%,76.0%,1106,26.8,"290,000","1,266",128,"3,391",9,78,"541,700"
princeton,49,21,40.6,17.22,97.7%,0.2%,0.3%,82.4%,1040,20.4,"28,000",213,19,145,0,5,"331,000"
prosper,71,37,60.8,69.15,99.1%,0.0%,0.2%,85.4%,1091,23.8,"46,065",124,10,384,2,17,"313,200"
wylie,73,42,63.7,76.61,99.0%,0.1%,0.1%,84.5%,1050,23.6,"62,210",231,14,465,4,10,"387,000"
